Read Parameterfile _struct_CTL.dat
Shot: 204118	Time: 0.004000000ms	gFile: /root/HEAT/data/nstx_204118_opticalExample/0.004000000/g204118_0.004000000
Bounding box: Rmin = 0.01  Rmax = 2.1500001  Zmin = -2.20000005  Zmax = 2.20000005
Using g-file!
HEAT-coil (0 = off, 1 = on): 0
Currents:
0	0	0	0	0	0	
Adjustments:
0	0	0	

Field lines are calculated
MapDirection(0=both, 1=pos.phi, -1=neg.phi): -1
Start Tracer for 746 points ... 
psimin = 0.945999332660412	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908811385643257	steps = 1
psimin = 0.9461648008011896	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908730557825461	steps = 1
psimin = 0.9459993346713694	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908811403071465	steps = 1
psimin = 0.9461648015037493	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908730563925865	steps = 1
psimin = 0.9459993388943796	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908811439670699	steps = 1
psimin = 0.9461648049161816	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.00190873059355642	steps = 1
psimin = 0.9459993404025976	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908811452741838	steps = 1
psimin = 0.9461648075926831	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908730616649723	steps = 1
psimin = 0.9459108348071203	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908866897528755	steps = 1
psimin = 0.9461648075926831	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001908730616649723	steps = 1
psimin = 0.9439589081810521	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910209786418941	steps = 1
psimin = 0.943355816861021	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910784966563241	steps = 1
psimin = 0.9429199301591856	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911295201077486	steps = 1
psimin = 0.9431305898098045	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911031593971999	steps = 1
psimin = 0.9429880891512155	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911208729728003	steps = 1
psimin = 0.9426804301427778	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911613724539546	steps = 1
psimin = 0.9427460113356808	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911535267900442	steps = 1
psimin = 0.9425801974437733	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911756352651176	steps = 1
psimin = 0.9432441337875649	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910926861956607	steps = 1
psimin = 0.9437902091716454	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910358184169612	steps = 1
psimin = 0.9434726878266987	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910672718376535	steps = 1
psimin = 0.9443414012132139	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909879835298958	steps = 1
psimin = 0.9439589059588455	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910209767700325	steps = 1
psimin = 0.943355820826824	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910784999643462	steps = 1
psimin = 0.9429199360466268	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911295249827118	steps = 1
psimin = 0.9431305876623088	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911031576126333	steps = 1
psimin = 0.9427460159754883	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911535306204695	steps = 1
psimin = 0.9429880938766781	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.00191120876890161	steps = 1
psimin = 0.9426804382715422	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911613791572767	steps = 1
psimin = 0.9425802045525913	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911756410978304	steps = 1
psimin = 0.943790213123841	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910358217251003	steps = 1
psimin = 0.9432441315786024	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910926843676732	steps = 1
psimin = 0.9434726917464925	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910672751020748	steps = 1
psimin = 0.9426804367408009	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911613778949625	steps = 1
psimin = 0.9425802045525913	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911756410978304	steps = 1
psimin = 0.9426804323069294	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911613742386055	steps = 1
psimin = 0.9425802017913281	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911756388344129	steps = 1
psimin = 0.9425801981957339	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911756358744277	steps = 1
psimin = 0.9430608976996273	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911121275443239	steps = 1
psimin = 0.9435095527252437	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910622708674688	steps = 1
psimin = 0.9435095491721495	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910622679077228	steps = 1
psimin = 0.9433558150868461	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910784951764198	steps = 1
psimin = 0.9430609009509232	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911121302429411	steps = 1
psimin = 0.9435095520485952	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910622703016122	steps = 1
psimin = 0.9435095469340045	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910622660360439	steps = 1
psimin = 0.9433558182699247	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910784978315425	steps = 1
psimin = 0.9433558180611983	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910784976574367	steps = 1
psimin = 0.9429199353632631	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911295244168678	steps = 1
psimin = 0.9429199324195425	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911295219793871	steps = 1
psimin = 0.9430609007411621	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911121300688381	steps = 1
psimin = 0.9439945268794623	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910159994063341	steps = 1
psimin = 0.9445689222573466	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909703373213569	steps = 1
psimin = 0.9445128686930448	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909734564576873	steps = 1
psimin = 0.9443365631551889	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909872148025794	steps = 1
psimin = 0.9452221297130441	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909263145400212	steps = 1
psimin = 0.9453559133223216	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909157206039573	steps = 1
psimin = 0.9450616260394504	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909347823588752	steps = 1
psimin = 0.9456378505279658	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909001343348558	steps = 1
psimin = 0.9456378470280707	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909001313291718	steps = 1
psimin = 0.9454429045457321	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909112254189695	steps = 1
psimin = 0.9455501979802801	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909049329285873	steps = 1
psimin = 0.9448755124334989	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909472374422227	steps = 1
psimin = 0.9450616315828908	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909347871058339	steps = 1
psimin = 0.944929785744432	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909446791925779	steps = 1
psimin = 0.9439945230057599	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910159961414228	steps = 1
psimin = 0.9445128630044585	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909734516247657	steps = 1
psimin = 0.9443413973598168	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909879802646225	steps = 1
psimin = 0.9443365592501898	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909872114937703	steps = 1
psimin = 0.9450616291417427	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.00190934785015431	steps = 1
psimin = 0.9456378498716539	Lc at psimin = 0	<dpsi/dLc> = 5.815726802848832e-14	Lc = 0.001909001337685454	steps = 1
psimin = 0.945637844857193	Lc at psimin = 0	<dpsi/dLc> = 5.815726802848832e-14	Lc = 0.001909001294559911	steps = 1
psimin = 0.9454429076327375	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909112280760123	steps = 1
psimin = 0.9452221318445679	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909263163692564	steps = 1
