# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0.01          	T             	2.993905e+02	(5.629355e+02 1.767136e+02 -1.622023e+03)	1.020682e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.02          	T             	2.994389e+02	(5.629355e+02 1.767136e+02 -1.622023e+03)	1.399905e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.03          	T             	2.994603e+02	(5.792674e+02 1.012219e+02 -1.603422e+03)	1.597975e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.04          	T             	2.995815e+02	(5.792674e+02 1.012219e+02 -1.603422e+03)	1.703490e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.05          	T             	2.997669e+02	(5.507107e+02 2.094347e+02 -1.627215e+03)	1.762817e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.06          	T             	2.997482e+02	(5.507107e+02 2.094347e+02 -1.627215e+03)	1.798663e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.07          	T             	2.997477e+02	(5.571675e+02 1.863357e+02 -1.625375e+03)	1.823190e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.08          	T             	2.997190e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.840971e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.09          	T             	2.996923e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.855097e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.1           	T             	2.996713e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.867099e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.11          	T             	2.996566e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.877717e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.12          	T             	2.996481e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.887336e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.13          	T             	2.996460e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.896174e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.14          	T             	2.996501e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.904363e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.15          	T             	2.996604e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.911885e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.16          	T             	2.996768e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.918810e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.17          	T             	2.996989e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.925310e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.18          	T             	2.997267e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.931474e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
0.19          	T             	2.997599e+02	(5.571915e+02 1.803931e+02 -1.623525e+03)	1.937357e+03	(5.913896e+02 1.035441e+02 -1.631613e+03)
