# X,Y,Z,HeatFlux
821.4860432943,227.3528188070,-1554.6156005859,0.0000000000
821.7877807617,229.9069468180,-1554.1796468099,0.0000000000
819.3673095703,230.5124155680,-1555.0058186849,0.0000000000
820.6576131185,229.3089192708,-1554.6769205729,0.0000000000
822.6325276693,228.7482045492,-1554.0112711589,0.0000000000
816.4956868490,231.1791178385,-1555.9925130208,0.0000000000
814.6233113607,228.9020436605,-1556.9792073568,0.0000000000
813.6240437826,231.8458302816,-1556.9792073568,0.0000000000
814.9143473307,230.6423288981,-1556.6503092448,0.0000000000
812.7509358724,226.6249643962,-1557.9659830729,0.0000000000
810.7215169271,224.8100891113,-1558.9527587891,0.0000000000
809.8792928060,227.2916768392,-1558.9527180990,0.0000000000
811.1695963542,226.0881754557,-1558.6238199870,0.0000000000
810.7524007161,232.5125376383,-1557.9659830729,0.0000000000
808.8800252279,230.2354583740,-1558.9527180990,0.0000000000
807.8807576497,233.1792399089,-1558.9527180990,0.0000000000
809.1710611979,231.9757436117,-1558.6238199870,0.0000000000
810.1703287760,229.0319620768,-1558.6238199870,0.0000000000
812.0427042643,231.3090413411,-1557.6370442708,0.0000000000
813.0419718424,228.3652547201,-1557.6370442708,0.0000000000
811.7516682943,229.5687510173,-1557.9659830729,0.0000000000
816.9343668620,226.0207468669,-1556.4820149740,0.0000000000
813.7880045573,225.7445220947,-1557.6905924479,0.0000000000
815.9136149089,227.6985473633,-1556.6503092448,0.0000000000
817.7859903971,229.9756215413,-1555.6636149089,0.0000000000
817.4949544271,228.2353363037,-1555.9925130208,0.0000000000
820.0171915690,227.7525329590,-1555.1128743490,0.0000000000
818.4358520508,227.2157440186,-1555.7706705729,0.0000000000
815.3693440755,226.2813161214,-1557.0327555339,0.0000000000
805.0091145833,233.8459472656,-1559.9394124349,0.0000000000
803.1367390951,231.5688730876,-1560.9261067708,0.0000000000
802.1374715169,234.5126546224,-1560.9261067708,0.0000000000
803.4277750651,233.3091583252,-1560.5972086589,0.0000000000
801.2644042969,229.2917938232,-1561.9128011068,0.0000000000
799.3920491536,227.0147196452,-1562.8995768229,0.0000000000
798.3927815755,229.9585011800,-1562.8995768229,0.0000000000
799.6830851237,228.7550048828,-1562.5706380208,0.0000000000
799.2658284505,235.1793619792,-1561.9128011068,0.0000000000
797.3934733073,232.9022827148,-1562.8995768229,0.0000000000
796.3941853841,235.8460642497,-1562.8995768229,0.0000000000
797.6844889323,234.6425679525,-1562.5706380208,0.0000000000
798.6837972005,231.6987864176,-1562.5706380208,0.0000000000
800.5561319987,233.9758656820,-1561.5839029948,0.0000000000
801.5554199219,231.0320790609,-1561.5839029948,0.0000000000
800.2651163737,232.2355753581,-1561.9128011068,0.0000000000
797.5196736654,224.7376403809,-1563.8863118490,0.0000000000
795.6473185221,222.4605662028,-1564.8730061849,0.0000000000
794.6480305990,225.4043477376,-1564.8730061849,0.0000000000
795.9383341471,224.2008514404,-1564.5441080729,0.0000000000
794.8001912435,220.1193949382,-1565.4854329427,0.0000000000
790.9033406576,220.8501942952,-1566.8463948568,0.0000000000
791.7763875326,226.0710550944,-1565.8597005208,0.0000000000
793.3784586589,220.4432474772,-1565.9747314453,0.0000000000
791.7971191406,219.9064585368,-1566.6325276693,0.0000000000
789.9040527344,223.7939809163,-1566.8463948568,0.0000000000
788.9047648112,226.7377624512,-1566.8463948568,0.0000000000
790.1950683594,225.5342661540,-1566.5174967448,0.0000000000
791.1943562826,222.5904795329,-1566.5174967448,0.0000000000
793.0666910807,224.8675587972,-1565.5308024089,0.0000000000
794.0659993490,221.9237721761,-1565.5308024089,0.0000000000
792.7756754557,223.1272684733,-1565.8597005208,0.0000000000
793.5225626628,236.5127766927,-1563.8863118490,0.0000000000
791.6502278646,234.2356974284,-1564.8730061849,0.0000000000
790.6509195964,237.1794840495,-1564.8730061849,0.0000000000
791.9412434896,235.9759877523,-1564.5441080729,0.0000000000
789.7778523763,231.9586232503,-1565.8597005208,0.0000000000
787.9054768880,229.6815439860,-1566.8463948568,0.0000000000
786.9062093099,232.6253306071,-1566.8463948568,0.0000000000
788.1965128581,231.4218343099,-1566.5174967448,0.0000000000
787.7792765299,237.8461863200,-1565.8597005208,0.0000000000
785.9069417318,235.5691121419,-1566.8463948568,0.0000000000
784.9076538086,238.5128936768,-1566.8463948568,0.0000000000
786.1979573568,237.3093973796,-1566.5174967448,0.0000000000
787.1972452799,234.3656158447,-1566.5174967448,0.0000000000
789.0696004232,236.6426900228,-1565.5308024089,0.0000000000
790.0688883464,233.6989084880,-1565.5308024089,0.0000000000
788.7785847982,234.9024047852,-1565.8597005208,0.0000000000
789.1957804362,228.4780476888,-1566.5174967448,0.0000000000
791.0681559245,230.7551269531,-1565.5308024089,0.0000000000
792.0674235026,227.8113454183,-1565.5308024089,0.0000000000
790.7771199544,229.0148417155,-1565.8597005208,0.0000000000
792.9405314128,233.0322011312,-1564.5441080729,0.0000000000
794.8128662109,235.3092753092,-1563.5574137370,0.0000000000
795.8121541341,232.3654937744,-1563.5574137370,0.0000000000
794.5218505859,233.5689900716,-1563.8863118490,0.0000000000
794.9390665690,227.1446329753,-1564.5441080729,0.0000000000
796.8114420573,229.4217122396,-1563.5574137370,0.0000000000
797.8107096354,226.4779256185,-1563.5574137370,0.0000000000
796.5204060872,227.6814219157,-1563.8863118490,0.0000000000
795.5211385091,230.6252085368,-1563.8863118490,0.0000000000
793.6487630208,228.3481343587,-1564.8730061849,0.0000000000
792.6494954427,231.2919158936,-1564.8730061849,0.0000000000
793.9397989909,230.0884195964,-1564.5441080729,0.0000000000
798.8099772135,223.5341440837,-1563.5574137370,0.0000000000
798.0262654622,221.9144744873,-1564.0548095703,0.0000000000
796.4449462891,221.3776855469,-1564.7126057943,0.0000000000
799.3518473307,221.4514719645,-1563.6189778646,0.0000000000
800.6823527018,225.8112233480,-1562.5706380208,0.0000000000
802.5547078451,228.0882975260,-1561.5839029948,0.0000000000
803.5539957682,225.1445159912,-1561.5839029948,0.0000000000
802.2636922201,226.3480122884,-1561.9128011068,0.0000000000
804.4270426432,230.3653767904,-1560.5972086589,0.0000000000
806.2994181315,232.6424509684,-1559.6105143229,0.0000000000
807.2986857096,229.6986694336,-1559.6105143229,0.0000000000
806.0083821615,230.9021657308,-1559.9394124349,0.0000000000
808.4551798503,224.1156209310,-1559.8860270182,0.0000000000
808.2979736328,226.7548878988,-1559.6105143229,0.0000000000
805.7406209310,224.3201293945,-1560.8726806641,0.0000000000
812.3827107747,224.6886698405,-1558.3484700521,0.0000000000
807.0076700846,227.9583841960,-1559.9394124349,0.0000000000
805.1353352865,225.6813049316,-1560.9261067708,0.0000000000
