# X,Y,Z,HeatFlux
424.7420450846,106.9035695394,-1629.8375651042,0.0000000000
425.2882588704,104.7090759277,-1630.8843587240,0.0000000000
423.6347351074,111.2105967204,-1629.8375651042,0.0000000000
424.1984761556,109.0401128133,-1630.8843587240,0.0000000000
422.4837341309,115.5061620076,-1629.8375651042,0.0000000000
423.0645955404,113.3598149618,-1630.8843587240,0.0000000000
421.2891845703,119.7898152669,-1629.8375651042,0.0000000000
421.8867085775,117.6677296956,-1630.8843587240,0.0000000000
420.2485555013,123.3992513021,-1629.2658691406,0.0000000000
420.6649780273,121.9634094238,-1630.8843587240,0.0000000000
425.8202921549,102.5403391520,-1615.7200927734,0.0000000000
425.2702331543,104.7826919556,-1610.8944091797,0.0000000000
424.7351175944,106.9311319987,-1607.0595296224,0.0000000000
425.4560750326,104.0195922852,-1608.9620361328,0.0000000000
425.2813313802,104.7366383870,-1607.6837565104,0.0000000000
424.7420450846,106.9035695394,-1604.7869873047,0.0000000000
424.1984761556,109.0401128133,-1603.7927246094,0.0000000000
425.6455485026,103.2573852539,-1605.4112141927,0.0000000000
425.2882588704,104.7090759277,-1603.7927246094,0.0000000000
425.8202921549,102.5403391520,-1609.9264729818,0.0000000000
425.6344502767,103.3034388224,-1614.4154866536,0.0000000000
425.6344502767,103.3034388224,-1611.8588460286,0.0000000000
420.2619730632,123.3538208008,-1618.5906168620,0.0000000000
420.0413716634,124.1076075236,-1615.7200927734,0.0000000000
420.6861673991,121.8906402588,-1610.8944091797,0.0000000000
421.2969563802,119.7624766032,-1607.0595296224,0.0000000000
420.4655659993,122.6444269816,-1608.9620361328,0.0000000000
420.2485555013,123.3992513021,-1605.4112141927,0.0000000000
420.6727498372,121.9360707601,-1607.6837565104,0.0000000000
421.2891845703,119.7898152669,-1604.7869873047,0.0000000000
420.6649780273,121.9634094238,-1603.7927246094,0.0000000000
420.2619730632,123.3538208008,-1614.4154866536,0.0000000000
420.0413716634,124.1076075236,-1609.9264729818,0.0000000000
420.2619730632,123.3538208008,-1611.8588460286,0.0000000000
422.4837341309,115.5061620076,-1604.7869873047,0.0000000000
421.8867085775,117.6677296956,-1603.7927246094,0.0000000000
423.6347351074,111.2105967204,-1604.7869873047,0.0000000000
423.0645955404,113.3598149618,-1603.7927246094,0.0000000000
421.8969828288,117.6312535604,-1608.3378092448,0.0000000000
421.2969563802,119.7624766032,-1612.1727294922,0.0000000000
422.4862365723,115.4970245361,-1612.1727294922,0.0000000000
421.8969828288,117.6312535604,-1610.8944091797,0.0000000000
424.1891377767,109.0768407186,-1608.3378092448,0.0000000000
423.6323242188,111.2197621663,-1612.1727294922,0.0000000000
424.7351175944,106.9311319987,-1612.1727294922,0.0000000000
424.1891377767,109.0768407186,-1610.8944091797,0.0000000000
423.0646870931,113.3598429362,-1610.8944091797,0.0000000000
423.6323242188,111.2197621663,-1607.0595296224,0.0000000000
422.4862365723,115.4970245361,-1607.0595296224,0.0000000000
423.0646870931,113.3598429362,-1608.3378092448,0.0000000000
420.6861673991,121.8906402588,-1616.0076904297,0.0000000000
420.2485555013,123.3992513021,-1620.2353922526,0.0000000000
421.2969563802,119.7624766032,-1619.8426513672,0.0000000000
420.6861673991,121.8906402588,-1618.5643310547,0.0000000000
420.0413716634,124.1076075236,-1624.7506510417,0.0000000000
420.4655659993,122.6444269816,-1625.6625162760,0.0000000000
421.8969828288,117.6312535604,-1623.6776123047,0.0000000000
421.2969563802,119.7624766032,-1627.5124918620,0.0000000000
422.4862365723,115.4970245361,-1627.5124918620,0.0000000000
421.8969828288,117.6312535604,-1626.2342122396,0.0000000000
420.6727498372,121.9360707601,-1626.9407958984,0.0000000000
421.2969563802,119.7624766032,-1622.3992919922,0.0000000000
420.6861673991,121.8906402588,-1623.6776123047,0.0000000000
420.2619730632,123.3538208008,-1622.7657470703,0.0000000000
425.2702331543,104.7826919556,-1616.0076904297,0.0000000000
424.7351175944,106.9311319987,-1619.8426513672,0.0000000000
425.6344502767,103.3034388224,-1618.5906168620,0.0000000000
425.2702331543,104.7826919556,-1618.5643310547,0.0000000000
424.1891377767,109.0768407186,-1623.6776123047,0.0000000000
423.6323242188,111.2197621663,-1627.5124918620,0.0000000000
424.7351175944,106.9311319987,-1627.5124918620,0.0000000000
