# This is a HEAT input file responsible for:
# 1) assigning intersection PFCs to each heat flux calculation PFC
# 2) assigning MapDirection to each PFC
# 3) assigning the timesteps to use each PFC for
#
# you can use colons (:) to insert a range of timesteps or to insert multiple intersects
# but each PFC needs its own line (and sometimes two if you need to trace in both directions)
# commas are the delimiter here, so don't use them inside columns or you'll break pandas
#
# Example
# 100:105, E-ED1450-013, -1, E-ED1450-013:E-ED1390-003:E-ED1450-071
#
# this would calculate HF on E-ED1450-013 for all (available) timesteps between
# 100ms and 105ms, checking for intersections with E-ED1450-013, E-ED1390-003,
# and E-ED1450-071, with traces running in the reversed MapDirection
#
#
#
timesteps, PFCname, MapDirection, intersectName
1003:1005, E-ED1434-011, 1, E-ED1434-011:E-ED1434-010:E-ED1408-345:E-ED1408-328:E-ED1408-311
1003:1005, E-ED1434-010, 1, E-ED1434-010:E-ED1434-009:E-ED1408-311:E-ED1408-294:E-ED1408-277
1003:1005, E-ED1408-345, 1, E-ED1408-345:E-ED1408-328
1003:1005, E-ED1408-328, 1, E-ED1408-328:E-ED1408-311
1003:1005, E-ED1408-311, 1, E-ED1408-311:E-ED1408-294
1003:1005, E-ED1408-294, 1, E-ED1408-294:E-ED1408-277
1003:1005, E-ED1440-010, -1, E-ED1440-010:E-ED1440-011:E-ED1420-008:E-ED1421-008
1003:1005, E-ED1421-008, -1, E-ED1421-008:E-ED1420-008:E-ED1422-008:E-ED1423-006
1003:1005, E-ED1440-011, -1, E-ED1440-011:E-ED1440-012:E-ED1420-008:E-ED1421-009
1003:1005, E-ED1420-008, -1, E-ED1420-008:E-ED1421-009:E-ED1422-008:E-ED1423-007
1003:1005, E-ED1440-012, -1, E-ED1440-012:E-ED1440-013:E-ED1420-009:E-ED1421-009
1003:1005, E-ED1421-009, -1, E-ED1421-009:E-ED1420-009:E-ED1422-009:E-ED1423-007
