# This is a HEAT input file responsible for:
# 1) assigning intersection PFCs to each heat flux calculation PFC
# 2) assigning MapDirection to each PFC
# 3) assigning the timesteps to use each PFC for
#
# you can use colons (:) to insert a range of timesteps or to insert multiple intersects
# but each PFC needs its own line (and sometimes two if you need to trace in both directions)
# commas are the delimiter here, so don't use them inside columns or you'll break pandas
#
# each divertor is associated with a name.  default is:
#   UI: Upper Inner
#   UO: Upper Outer
#   LI: Lower Inner
#   LO: Lower Outer
# Example
# 100:105, E-ED1450-013, -1, E-ED1450-013:E-ED1390-003:E-ED1450-071
#
# this would calculate HF on E-ED1450-013 for all (available) timesteps between
# 100ms and 105ms, checking for intersections with E-ED1450-013, E-ED1390-003,
# and E-ED1450-071, with traces running in the reversed MapDirection
#
#
#
timesteps, PFCname, MapDirection, DivCode, intersectName
#=====limiter
0:5000, T000, 1, LO, T000:T005:T028:T019:T027:T026
0:5000, T005, 1, LO, T005:T006:T019:T020:T026:T025
0:5000, T006, 1, LO, T006:T007:T020:T021:T025:T024
0:5000, T007, 1, LO, T007:T008:T021:T022:T024:T023
0:5000, T008, 1, LO, T008:T022:T023
0:5000, T000, -1, UO, T000:T001:T018:T009:T016:T017
0:5000, T001, -1, UO, T001:T009:T016:T015:T010:T002
0:5000, T002, -1, UO, T002:T010:T015:T003:T011:T014
0:5000, T003, -1, UO, T003:T011:T014:T004:T012:T013
0:5000, T004, -1, UO, T004:T012:T013
