# This is a HEAT input file responsible for:
# 1) assigning intersection PFCs to each heat flux calculation PFC
# 2) assigning MapDirection to each PFC
# 3) assigning the timesteps to use each PFC for
#
# you can use colons (:) to insert a range of timesteps or to insert multiple intersects
# but each PFC needs its own line (and sometimes two if you need to trace in both directions)
# commas are the delimiter here, so don't use them inside columns or you'll break pandas
#
# Example
# 100:105, E-ED1450-013, -1, E-ED1450-013:E-ED1390-003:E-ED1450-071
#
# this would calculate HF on E-ED1450-013 for all (available) timesteps between
# 100ms and 105ms, checking for intersections with E-ED1450-013, E-ED1390-003,
# and E-ED1450-071, with traces running in the reversed MapDirection
#
#
#
# 40-1783_2 TILE UPPER
# 40-1782_3 TILE LOWER TYPE A0
timesteps, PFCname, MapDirection, DivCode, intersectName
# LOWER INNER DIVERTOR
0:250, T035, 1, LI, T035:T194:T210:T188:T165:T186:T183
0:250, T037, 1, LI, T037:T210:T165:T207:T198:T203:T183
0:250, T000, 1, LI, T000:T198:T207:T204:T184:T206:T203
0:250, T038, 1, LI, T038:T184:T204:T206:T168
0:250, T054, 1, LI, T054:T035:T030:T194:T210:T188:T165:T186:T183:T037:T056:T034
0:250, T034, 1, LI, T034:T037:T000:T056:T040:T048:T210:T198:T203:T183:T207:T165
0:250, T048, 1, LI, T048:T000:T038:T052:T023:T040:T198:T184:T204:T207:T203:T206
0:250, T052, 1, LI, T052:T038:T023:T027:T184:T204:T168:T206
# LOWER OUTER DIVERTOR
0:250, T006, -1, LO, T006:T077:T071:T076:T074:T070:T039:T119:T120:T090:T108
0:250, T039, -1, LO, T039:T074:T070:T073:T078:T055:T120:T131:T111:T090
0:250, T055, -1, LO, T055:T044:T073:T072:T069:T078:T131:T102:T128:T111
0:250, T044, -1, LO, T044:T002:T073:T072:T069:T078:T102:T109:T134:T128
0:250, T002, -1, LO, T002:T072:T069:T109:T134:T091:T133
0:250, T013, -1, LO, T013:T049:T006:T039:T029:T009:T071:T074:T070:T077:T119:T120:T090:T108:T076
0:250, T049, -1, LO, T049:T039:T045:T055:T029:T028:T074:T073:T131:T120:T090:T111:T078:T070
0:250, T045, -1, LO, T045:T055:T044:T005:T008:T028:T073:T072:T131:T102:T111:T128:T078:T069
0:250, T005, -1, LO, T005:T044:T002:T011:T072:T102:T109:T128:T134:T069:T004:T008
0:250, T011, -1, LO, T011:T002:T054:T004:T109:T134:T091:T133
0:250, T019, -1, LO, T019:T013:T049:T018:T047:T042:T070:T074:T071:T077:T076:T119:T120:T090:T108
0:250, T018, -1, LO, T018:T049:T045:T041:T042:T053:T073:T078:T070:T074:T120:T131:T111:T090
0:250, T041, -1, LO, T041:T045:T005:T021:T043:T053:T073:T072:T069:T078:T131:T102:T128:T111
0:250, T021, -1, LO, T021:T005:T011:T017:T001:T043:T072:T069:T102:T109:T134:T128
0:250, T017, -1, LO, T017:T011:T035:T054:T015:T109:T134:T091:T133
0:250, T016, -1, LO, T016:T019:T018:T022:T020:T014:T071:T077:T074:T070:T076:T120:T119:T108:T090
0:250, T022, -1, LO, T022:T018:T041:T032:T014:T051:T073:T074:T078:T070:T120:T131:T111:T090
0:250, T032, -1, LO, T032:T041:T021:T012:T051:T025:T073:T072:T069:T078:T131:T102:T128:T111
0:250, T012, -1, LO, T012:T021:T017:T050:T025:T010:T072:T069:T102:T109:T134:T128
0:250, T050, -1, LO, T050:T017:T035:T054:T015:T010:T109:T134:T091:T133
#2nd OUTER DIVERTOR
0:250, T072, -1, LO, T072:T102:T109:T128:T134:T091:T133
0:250, T073, -1, LO, T073:T131:T102:T128:T111:T072:T069
0:250, T074, -1, LO, T074:T120:T131:T111:T090:T073:T078
0:250, T076, -1, LO, T076:T119:T120:T090:T108:T070:T074
0:250, T071, -1, LO, T071:T076:T079:T119:T120:T090:T108:T070:T074
