# This is a HEAT input file responsible for:
# 1) assigning intersection PFCs to each heat flux calculation PFC
# 2) assigning MapDirection to each PFC
# 3) assigning the timesteps to use each PFC for
#
# you can use colons (:) to insert a range of timesteps or to insert multiple intersects
# but each PFC needs its own line (and sometimes two if you need to trace in both directions)
# commas are the delimiter here, so don't use them inside columns or you'll break pandas
#
# Example
# 100:105, E-ED1450-013, -1, E-ED1450-013:E-ED1390-003:E-ED1450-071
#
# this would calculate HF on E-ED1450-013 for all (available) timesteps between
# 100ms and 105ms, checking for intersections with E-ED1450-013, E-ED1390-003,
# and E-ED1450-071, with traces running in the reversed MapDirection
#
#
#
timesteps, PFCname, MapDirection, DivCode, intersectName
# LOWER INNER DIVERTOR
0:10, 40-1783_2_TILE_UPPER200, 1, LI, 40-1783_2_TILE_UPPER200:40-1783_2_TILE_UPPER270:40-1783_2_TILE_UPPER269
0:10, 40-1783_2_TILE_UPPER201, 1, LI, 40-1783_2_TILE_UPPER201:40-1783_2_TILE_UPPER269:40-1783_2_TILE_UPPER266
0:10, 40-1783_2_TILE_UPPER202, 1, LI, 40-1783_2_TILE_UPPER202:40-1783_2_TILE_UPPER266:40-1783_2_TILE_UPPER265
0:10, 40-1783_2_TILE_UPPER203, 1, LI, 40-1783_2_TILE_UPPER203:40-1783_2_TILE_UPPER265:40-1774_3_TILE_SHIELD008
0:10, 40-1783_2_TILE_UPPER204, 1, LI, 40-1783_2_TILE_UPPER204:40-1783_2_TILE_UPPER203:40-1774_3_TILE_SHIELD009
0:10, 40-1783_2_TILE_UPPER205, 1, LI, 40-1783_2_TILE_UPPER205:40-1783_2_TILE_UPPER202:40-1783_2_TILE_UPPER203
0:10, 40-1783_2_TILE_UPPER206, 1, LI, 40-1783_2_TILE_UPPER206:40-1783_2_TILE_UPPER201:40-1783_2_TILE_UPPER202
0:10, 40-1783_2_TILE_UPPER207, 1, LI, 40-1783_2_TILE_UPPER207:40-1783_2_TILE_UPPER200:40-1783_2_TILE_UPPER201
# LOWER OUTER DIVERTOR
0:10, 40-1783_2_TILE_UPPER180, -1, L0, 40-1783_2_TILE_UPPER180:40-1783_2_TILE_UPPER178:40-1783_2_TILE_UPPER177
0:10, 40-1783_2_TILE_UPPER181, -1, L0, 40-1783_2_TILE_UPPER181:40-1783_2_TILE_UPPER177:40-1783_2_TILE_UPPER176
0:10, 40-1783_2_TILE_UPPER182, -1, L0, 40-1783_2_TILE_UPPER182:40-1783_2_TILE_UPPER176:40-1783_2_TILE_UPPER175
0:10, 40-1783_2_TILE_UPPER183, -1, L0, 40-1783_2_TILE_UPPER183:40-1783_2_TILE_UPPER175:40-1783_2_TILE_UPPER166
0:10, 40-1783_2_TILE_UPPER184, -1, L0, 40-1783_2_TILE_UPPER184:40-1783_2_TILE_UPPER166:40-1783_2_TILE_UPPER167
0:10, 40-1783_2_TILE_UPPER185, -1, L0, 40-1783_2_TILE_UPPER185:40-1783_2_TILE_UPPER184:40-1783_2_TILE_UPPER167
0:10, 40-1783_2_TILE_UPPER186, -1, L0, 40-1783_2_TILE_UPPER186:40-1783_2_TILE_UPPER183:40-1783_2_TILE_UPPER184
0:10, 40-1783_2_TILE_UPPER187, -1, L0, 40-1783_2_TILE_UPPER187:40-1783_2_TILE_UPPER183:40-1783_2_TILE_UPPER182
0:10, 40-1783_2_TILE_UPPER188, -1, L0, 40-1783_2_TILE_UPPER188:40-1783_2_TILE_UPPER182:40-1783_2_TILE_UPPER181
0:10, 40-1783_2_TILE_UPPER189, -1, L0, 40-1783_2_TILE_UPPER189:40-1783_2_TILE_UPPER181:40-1783_2_TILE_UPPER180
0:10, 40-1783_2_TILE_UPPER190, -1, L0, 40-1783_2_TILE_UPPER190:40-1783_2_TILE_UPPER188:40-1783_2_TILE_UPPER189
0:10, 40-1783_2_TILE_UPPER191, -1, L0, 40-1783_2_TILE_UPPER191:40-1783_2_TILE_UPPER187:40-1783_2_TILE_UPPER188
0:10, 40-1783_2_TILE_UPPER192, -1, L0, 40-1783_2_TILE_UPPER192:40-1783_2_TILE_UPPER186:40-1783_2_TILE_UPPER187
0:10, 40-1783_2_TILE_UPPER193, -1, L0, 40-1783_2_TILE_UPPER193:40-1783_2_TILE_UPPER185:40-1783_2_TILE_UPPER186
0:10, 40-1783_2_TILE_UPPER194, -1, L0, 40-1783_2_TILE_UPPER194:40-1783_2_TILE_UPPER185:40-1783_2_TILE_UPPER207
0:10, 40-1783_2_TILE_UPPER195, -1, L0, 40-1783_2_TILE_UPPER195:40-1783_2_TILE_UPPER194:40-1783_2_TILE_UPPER200
0:10, 40-1783_2_TILE_UPPER196, -1, L0, 40-1783_2_TILE_UPPER196:40-1783_2_TILE_UPPER193:40-1783_2_TILE_UPPER194
0:10, 40-1783_2_TILE_UPPER197, -1, L0, 40-1783_2_TILE_UPPER197:40-1783_2_TILE_UPPER192:40-1783_2_TILE_UPPER193
0:10, 40-1783_2_TILE_UPPER198, -1, L0, 40-1783_2_TILE_UPPER198:40-1783_2_TILE_UPPER191:40-1783_2_TILE_UPPER192
0:10, 40-1783_2_TILE_UPPER199, -1, L0, 40-1783_2_TILE_UPPER199:40-1783_2_TILE_UPPER190:40-1783_2_TILE_UPPER191
0:10, 40-1783_2_TILE_UPPER193, -1, L0, 40-1783_2_TILE_UPPER193:40-1783_2_TILE_UPPER185:40-1783_2_TILE_UPPER186
